Year,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Total Amount,Total Weight,Total Spawn Amount,Total Spawn Weight,Caught Age 2,Caught Age 3,Caught Age 4,Caught Age 5,Caught Age 6,Caught Age 7,Caught Age 8,Caught Age 9,Total Caught
2001,21.9011652757507,18.1902495729312,14.8955714062782,9.98874033850847,6.51570413348975,4.16666162410338,2.66401314247999,1.71816461521761,1.11284585769844,81.1531159664578,201.692252640565,47.1777116229858,145.890423072577,0,0,0,0,0,0,0,0,0
2002,20.0301733731021,17.9311575395007,14.8929167315224,12.195462394989,8.17808889964746,5.33460735204538,3.41137400932329,2.18110948635228,1.40671420932906,85.5616039958117,230.766515926725,53.5872685066548,177.033607644127,0,0,0,0,0,0,0,0,0
2003,8.42548907842364,15.8083050480956,14.2021229308021,11.9981258631424,9.89807889719368,6.68182784668428,4.36159293113999,2.7917245848955,1.78574141230673,75.953008592684,241.897856244437,56.7829424040521,202.301251194051,0.397755103573248,0.578239674649109,0.411573305536125,0.17150772027862,0.0625338760677599,0.00995282081204915,0.00423999171616158,0.000898620681002583,1.63670111331407
2004,1.40184784019075,6.64960302889736,12.5207472594056,11.4416041880445,9.73791665830068,8.08712891428678,5.46308494326549,3.56934366677237,2.28567077177781,61.1569472709414,240.04063947669,53.9261484644208,216.623373092035,0.167311646215903,0.50978243583148,0.392482868576619,0.168732529178148,0.0756858046740848,0.0124663411693291,0.00542101741021676,0.00115019510178099,1.33303283815756
2005,0.272233144912023,1.14773593790012,5.44423449551876,10.2511208327922,9.36759321329786,7.97273183906114,6.62118114623274,4.47279564972874,2.92233142829067,48.4719576877343,230.828027364203,46.5370096747684,222.29083335196,0,0,0,0,0,0,0,0,0
2006,0.10550423364028,0.222885647746608,0.939686708771625,4.4573622084492,8.39290787932538,7.66953664605155,6.52752074268333,5.42096462612086,3.66201535066633,37.3983840434552,208.992283571665,36.9934996441873,207.441641178285,0,0,0,0,0,0,0,0,0
2007,0.0723628143687362,0.0863795606612221,0.182483334229854,0.769350406729963,3.64937951766495,6.8715317885542,6.27928551398096,5.34428197338927,4.43831045075303,27.6933653603322,177.027875639336,27.5413160987869,176.642550819919,0,0,0,0,0,0,0,0,0
2008,0.193910828067246,0.0592456615029576,0.0707216027507076,0.149404717658189,0.629890837882874,2.98785924076519,5.62593439604227,5.1410441576533,4.37552800473408,19.2335394470568,137.045238277805,18.9958614676879,136.71071182387,0,0,0,0,0,0,0,0,0
2009,1.43696003587783,0.158760758293471,0.0485062450589197,0.0579019510789687,0.122322237001693,0.515711000056767,2.44625224628269,4.60612550483901,4.20913095480264,13.601670933292,98.6604415049375,12.0756292692556,97.0384424070594,0,0,0,0,0,0,0,0,0
2010,12.5122104012329,1.17648337231722,0.129982315196845,0.0397135545460744,0.0474061080115685,0.100148977218579,0.422228455447076,2.00282194381773,3.77117660334854,20.2021717311366,71.6339791658626,7.07572318070565,58.062630286724,0,0,0,0,0,0,0,0,0
2011,21.9997182236635,10.2441314444716,0.963223117401002,0.106420518807933,0.032514708420911,0.0388128385128076,0.081995047538157,0.345691421299137,1.639771918343,35.4522792384581,59.6441773063004,8.13785066907854,28.6513770596178,0,0,0,0,0,0,0,0,0
2012,14.4232924894998,18.0118458687634,8.38718545216206,0.788620388291844,0.0871297515065681,0.0266207917115635,0.0317772645046851,0.0671318670195802,0.283028197692841,42.1066320711524,65.0152270206878,16.9999795568385,25.676477914675,0,0,0,0,0,0,0,0,0
